Stazioni;Data;T-MIN;T-MAX
Barbarano;06/05/2019;4,7;13
Barbarano;07/05/2019;2,8;16,8
Barbarano;08/05/2019;6,1;16,8
Barbarano;09/05/2019;9,5;19,6
Barbarano;10/05/2019;9,4;20
Barbarano;11/05/2019;9,1;19,8
Barbarano;12/05/2019;10,2;16,1
Barbarano;13/05/2019;9,5;15,9
Barbarano;14/05/2019;7,5;15
Barbarano;15/05/2019;6,7;9,2
Barbarano;16/05/2019;4,5;17,8
Barbarano;17/05/2019;7,5;18,8
Barbarano;18/05/2019;11,5;17
Barbarano;19/05/2019;10,7;16,7
Barbarano;20/05/2019;9,7;16,7
Barbarano;21/05/2019;11,4;17,3
Barbarano;22/05/2019;11,1;19,9
Barbarano;23/05/2019;10,5;20,6
Barbarano;24/05/2019;10,2;21,5
Barbarano;25/05/2019;9,9;21,4
Barbarano;26/05/2019;12,3;16,3
Barbarano;27/05/2019;12,6;19,7
Barbarano;28/05/2019;12,7;19,5
Barbarano;29/05/2019;11,7;17,7
Barbarano;30/05/2019;10,4;20,3
Barbarano;31/05/2019;8,6;20,7
Bolsena;01/05/2019;8,1;18,7
Bolsena;02/05/2019;5,5;20,5
Bolsena;03/05/2019;9,1;19,4
Bolsena;04/05/2019;9,8;18,6
Bolsena;05/05/2019;4,9;14,1
Bolsena;06/05/2019;5,4;13,9
Bolsena;07/05/2019;3,5;18
Bolsena;08/05/2019;5,8;18,2
Bolsena;09/05/2019;9,2;20
Bolsena;10/05/2019;9,2;20,6
Bolsena;11/05/2019;8,6;20
Bolsena;12/05/2019;8,8;15,7
Bolsena;13/05/2019;10,6;14,6
Bolsena;14/05/2019;6,5;14
Bolsena;15/05/2019;6,2;10,4
Bolsena;16/05/2019;7,3;19
Bolsena;17/05/2019;-;-
Bolsena;18/05/2019;-;-
Bolsena;19/05/2019;-;-
Bolsena;20/05/2019;-;-
Bolsena;21/05/2019;-;-
Bolsena;22/05/2019;10,3;20,4
Bolsena;23/05/2019;12;22,4
Bolsena;24/05/2019;9,8;23,3
Bolsena;25/05/2019;12,5;22,8
Bolsena;26/05/2019;12,5;17,7
Bolsena;27/05/2019;13,4;22,8
Bolsena;28/05/2019;13;20,1
