Stazioni;Data;T-MIN;T-MAX
Bolsena;27/03/2019;6,1;14,4
Bolsena;28/03/2019;5,8;13,6
Bolsena;29/03/2019;6,9;16,9
Bolsena;30/03/2019;4,5;19,5
Bolsena;31/03/2019;4,6;21,6
Borgo Montello;01/03/2019;2,1;15,7
Borgo Montello;02/03/2019;5,3;18,8
Borgo Montello;03/03/2019;4;20,6
Borgo Montello;04/03/2019;2,4;16,9
Borgo Montello;05/03/2019;5,6;18,6
Borgo Montello;06/03/2019;3,9;18,4
Borgo Montello;07/03/2019;6,5;20,2
Borgo Montello;08/03/2019;9,2;19,4
Borgo Montello;09/03/2019;4,6;19,4
Borgo Montello;10/03/2019;8,7;15,2
Borgo Montello;11/03/2019;5,8;18,3
Borgo Montello;12/03/2019;3,6;16,7
Borgo Montello;13/03/2019;-0,7;16,7
Borgo Montello;14/03/2019;4,2;18,4
Borgo Montello;15/03/2019;1,6;19,5
Borgo Montello;16/03/2019;7,8;19,7
Borgo Montello;17/03/2019;7;18,9
Borgo Montello;18/03/2019;6,7;16,8
Borgo Montello;19/03/2019;4,3;18,5
Borgo Montello;20/03/2019;4,6;19,4
Borgo Montello;21/03/2019;6,5;24,4
Borgo Montello;22/03/2019;5,4;24,6
Borgo Montello;23/03/2019;3,8;22,2
Borgo Montello;24/03/2019;3,8;22,8
Borgo Montello;25/03/2019;3,7;19,9
Borgo Montello;26/03/2019;6,8;20,4
Borgo Montello;27/03/2019;6,7;18,6
Borgo Montello;28/03/2019;2,7;19,9
Borgo Montello;29/03/2019;2,9;21,3
Borgo Montello;30/03/2019;2,7;21
Borgo Montello;31/03/2019;2;20,6
Borgorose;01/03/2019;0,4;10,7
Borgorose;02/03/2019;3,6;14,1
Borgorose;03/03/2019;-0,1;16,7
Borgorose;04/03/2019;-1,9;14,6
Borgorose;05/03/2019;0,4;11,6
Borgorose;06/03/2019;-2,6;15,8
Borgorose;07/03/2019;2,2;18,7
Borgorose;08/03/2019;1,4;14,9
Borgorose;09/03/2019;0,7;14,7
Borgorose;10/03/2019;-1;9,7
Borgorose;11/03/2019;2,6;12,8
Borgorose;12/03/2019;-1,1;8,6
Borgorose;13/03/2019;-5,2;11,8
Borgorose;14/03/2019;1,8;11,3
Borgorose;15/03/2019;-2,4;15,2
Borgorose;16/03/2019;-1,1;12,9
Borgorose;17/03/2019;-1,4;17,3
Borgorose;18/03/2019;0,9;14,3
Borgorose;19/03/2019;-2,6;10,8
Borgorose;20/03/2019;-0,5;9,7
Borgorose;21/03/2019;0,9;15,8
Borgorose;22/03/2019;1,2;18,7
Borgorose;23/03/2019;0;20,9
Borgorose;24/03/2019;0,6;20,8
Borgorose;25/03/2019;-0,1;17,1
Borgorose;26/03/2019;-0,2;10,8
Borgorose;27/03/2019;2,1;10,3
Borgorose;28/03/2019;-1,1;11,2
Borgorose;29/03/2019;-4;13,5
Borgorose;30/03/2019;-3,4;17,7
Borgorose;31/03/2019;-1,3;20,2
Bracciano;01/03/2019;9,7;13,7
Bracciano;02/03/2019;8,6;20,1
Bracciano;03/03/2019;6,6;18,9
Bracciano;04/03/2019;6,5;15,5
Bracciano;05/03/2019;9;13,4
Bracciano;06/03/2019;6,9;18,3
Bracciano;07/03/2019;8,3;18,7
Bracciano;08/03/2019;10,3;16,4
Bracciano;09/03/2019;7,1;19,2
Bracciano;10/03/2019;9,1;12,8
Bracciano;11/03/2019;5,7;16,9
Bracciano;12/03/2019;4,6;14,2
Bracciano;13/03/2019;3;14,2
Bracciano;14/03/2019;6,2;15,9
Bracciano;15/03/2019;5,5;17,7
Bracciano;16/03/2019;9,9;15,7
Bracciano;17/03/2019;9,4;15
Bracciano;18/03/2019;8,3;14,5
Bracciano;19/03/2019;7,1;14,3
Bracciano;20/03/2019;7,2;16,3
Bracciano;21/03/2019;8,4;22,3
Bracciano;22/03/2019;8,7;22,4
Bracciano;23/03/2019;9,1;22,7
Bracciano;24/03/2019;9,3;21,6
Bracciano;25/03/2019;7;17,3
Bracciano;26/03/2019;8,2;12
Bracciano;27/03/2019;8,3;18,3
Bracciano;28/03/2019;7,2;17,9
Bracciano;29/03/2019;8,3;20,2
Bracciano;30/03/2019;5,9;19,6
Bracciano;31/03/2019;6,7;20,5
Brusciano;01/03/2019;0,6;5,5
Brusciano;02/03/2019;1,3;10
Brusciano;03/03/2019;1,4;11,1
Brusciano;04/03/2019;0,8;11,7
Brusciano;05/03/2019;1,7;7,1
Brusciano;06/03/2019;0,1;12,2
Brusciano;07/03/2019;3,6;15,6
Brusciano;08/03/2019;4,2;11
Brusciano;09/03/2019;1,3;8,6
Brusciano;10/03/2019;0,9;5,4
Brusciano;11/03/2019;-1,9;6,3
Brusciano;12/03/2019;-3,4;2,5
Brusciano;13/03/2019;-3,5;7,7
Brusciano;14/03/2019;-1,4;5,6
Brusciano;15/03/2019;-0,4;9,2
Brusciano;16/03/2019;2,8;10,1
Brusciano;17/03/2019;1,3;14,1
Brusciano;18/03/2019;-0,8;11,2
Brusciano;19/03/2019;-2,2;8,2
Brusciano;20/03/2019;-1,5;4,8
Brusciano;21/03/2019;-1,2;10,3
Brusciano;22/03/2019;1,4;14,2
Brusciano;23/03/2019;2,7;14,5
Brusciano;24/03/2019;5;16,3
Brusciano;25/03/2019;1,7;13,6
Brusciano;26/03/2019;-1,2;4,1
Brusciano;27/03/2019;-1,3;6,8
Brusciano;28/03/2019;-2,1;9,2
Brusciano;29/03/2019;-0,6;11,5
Brusciano;30/03/2019;-0,1;13,2
Brusciano;31/03/2019;3,2;16
Campaegli;01/03/2019;1,3;6,2
Campaegli;02/03/2019;0,3;8,8
Campaegli;03/03/2019;-1,4;8,9
Campaegli;04/03/2019;-2,1;7,8
Campaegli;05/03/2019;-2,3;6,1
Campaegli;06/03/2019;-2,9;9,8
Campaegli;07/03/2019;4,9;12
Campaegli;08/03/2019;4,9;10
Campaegli;09/03/2019;-2;9,6
Campaegli;10/03/2019;-0,9;6,9
Campaegli;11/03/2019;-2,3;6,7
Campaegli;12/03/2019;-3,6;2,3
Campaegli;13/03/2019;-1,9;6,2
Campaegli;14/03/2019;-1,6;5,6
Campaegli;15/03/2019;-0,9;10,5
Campaegli;16/03/2019;-0,5;8,6
Campaegli;17/03/2019;-1,4;10,3
Campaegli;18/03/2019;-1,6;8,2
Campaegli;19/03/2019;-3,1;5,6
Campaegli;20/03/2019;-0,2;5,5
Campaegli;21/03/2019;0,5;12,9
Campaegli;22/03/2019;3,7;13,6
Campaegli;23/03/2019;-;-
Campaegli;24/03/2019;-;-
Campaegli;25/03/2019;-;-
Campaegli;26/03/2019;-;-
Campaegli;27/03/2019;-0,6;5,9
Campaegli;28/03/2019;-0,8;7,2
Campaegli;29/03/2019;-2,4;8,5
Campaegli;30/03/2019;-2,8;11,7
Campaegli;31/03/2019;-0,1;12,7
Campo di Carne;01/03/2019;2,7;14,3
